TEAM,W,L,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Richmond,21,7,23.29,56.82,0.41,16.54,33.57,0.49,6.75,23.25,0.29,11.61,17.14,0.67,64.93,8.61,25.18,33.79,11.25,5.64,3.11,13.36,15.46
VCU,14,13,22.41,52.63,0.43,16.11,34.26,0.47,6.30,18.37,0.34,14.04,19.78,0.71,65.15,8.15,24.93,33.07,12.33,6.37,3.33,15.22,16.67
Miami FL,12,15,28.00,62.63,0.45,20.52,41.15,0.50,7.48,21.48,0.34,10.63,14.70,0.72,74.11,9.63,25.26,34.89,15.67,6.37,4.30,11.74,16.44
Virginia Tech,12,16,24.79,57.54,0.43,16.54,33.50,0.49,8.25,24.04,0.35,10.61,15.54,0.67,68.43,7.57,27.46,35.04,13.36,4.00,3.43,11.29,14.21
Georgia,13,16,28.14,61.69,0.46,21.48,40.86,0.53,6.66,20.83,0.33,12.72,19.10,0.65,75.66,9.62,23.00,32.62,13.07,6.76,3.48,12.17,17.45
Missouri,12,15,21.26,50.52,0.42,15.56,31.37,0.50,5.70,19.15,0.29,18.56,25.52,0.74,66.78,8.04,21.81,29.85,10.52,6.11,3.78,13.52,18.89
Northern Illinois,15,11,22.35,54.50,0.41,14.92,31.31,0.48,7.42,23.19,0.32,13.23,18.12,0.73,65.35,7.42,24.15,31.58,11.73,4.77,3.12,10.62,15.85
Ohio,14,14,23.86,56.25,0.43,16.43,33.64,0.50,7.43,22.61,0.33,14.11,17.93,0.78,69.25,7.32,24.04,31.36,10.89,6.07,2.43,12.00,18.00
Purdue,14,13,21.89,53.78,0.41,15.07,31.11,0.49,6.81,22.67,0.30,12.41,17.41,0.70,63.00,7.59,22.15,29.74,12.85,5.41,3.81,12.96,16.41
Rutgers,17,10,21.81,56.89,0.39,14.78,33.63,0.45,7.04,23.26,0.30,12.11,17.07,0.69,62.78,8.07,23.26,31.33,11.93,5.30,3.48,12.00,16.44
Air Force,10,18,26.18,56.14,0.47,15.32,28.14,0.54,10.86,28.00,0.39,11.93,16.57,0.71,75.14,6.32,23.79,30.11,14.64,6.11,2.79,11.18,18.82
Fresno St.,9,17,24.19,57.23,0.42,15.35,33.38,0.46,8.85,23.85,0.37,12.15,15.92,0.75,69.38,7.73,22.85,30.58,12.31,5.69,2.38,9.27,16.35
Duke,21,6,25.93,61.59,0.42,21.00,45.15,0.46,4.93,16.44,0.31,12.44,18.41,0.67,69.22,9.11,21.70,30.81,12.19,7.19,3.81,13.67,18.89
Pittsburgh,13,15,24.25,55.39,0.44,16.75,33.14,0.51,7.50,22.25,0.34,10.36,14.86,0.68,66.36,9.75,23.68,33.43,14.43,5.29,4.18,15.04,17.32
Butler,18,9,21.78,54.74,0.40,14.63,34.00,0.44,7.15,20.74,0.34,12.59,17.33,0.71,63.30,7.52,20.78,28.30,11.63,5.81,2.96,10.81,16.07
Georgetown,12,16,26.18,60.79,0.43,16.93,35.14,0.49,9.25,25.64,0.36,11.75,16.00,0.74,73.36,9.43,23.07,32.50,15.32,7.25,3.11,12.79,18.21
Auburn,20,6,24.46,58.77,0.42,17.54,37.50,0.47,6.92,21.27,0.32,14.96,20.96,0.70,70.81,8.88,23.58,32.46,11.27,6.42,3.42,12.92,21.50
Mississippi,12,17,23.90,54.93,0.44,18.34,36.48,0.50,5.55,18.45,0.30,16.90,22.79,0.74,70.24,8.14,24.14,32.28,13.17,5.86,3.97,12.55,18.48
Utah St.,21,8,23.52,58.62,0.40,15.52,33.31,0.46,8.00,25.31,0.32,10.90,15.17,0.70,65.93,6.79,22.28,29.07,11.59,6.72,3.00,11.41,18.97
Wyoming,8,21,24.38,55.93,0.44,16.72,32.93,0.51,7.66,23.00,0.33,14.59,20.66,0.72,71.00,8.34,27.83,36.17,12.21,5.86,2.45,12.66,17.28
